,City,Country,Lat,Lng,Hotel Name
329,maua,BR,-23.67,-46.46,Hilton Garden Inn Santo André
330,havoysund,NO,71.0,24.66,Claudine's Guesthouse
331,saint anthony,US,45.02,-93.22,AC Hotel by Marriott Minneapolis Downtown
332,iquique,CL,-20.22,-70.14,Hotel Terrado Cavancha
333,ust-koksa,RU,50.27,85.61,"Эко отель ""Альтаир"""
334,iskateley,RU,67.68,53.15,Hotel North Palmyra
335,touros,BR,-5.2,-35.46,Pousada Amigos do Vento
336,bac lieu,VN,9.29,105.72,New Palace Hotel
337,kodinsk,RU,58.69,99.18,
338,celestun,MX,20.87,-90.4,Playa 55 beach escape
339,wuan,CN,31.68,112.0,Xinyuan Hotel
340,praya,CV,14.92,-23.51,Hotel Oasis Atlantico Praiamar
341,kargasok,RU,59.06,80.86,Hotel Kargasok
342,naron,ES,43.52,-8.15,Hotel Valcarce Ferrol
343,rio grande,BR,-32.03,-52.1,Laghetto Viverone Rio Grande
344,solnechnyy,RU,50.72,136.63,Hotel complex Pastoral
345,bridlington,GB,54.08,-0.19,The Hollies B&B
346,richards bay,ZA,-28.78,32.04,BON Hotel Waterfront Richards Bay
347,mersin,TR,36.86,34.65,Grand Altundağ Otel
348,thinadhoo,MV,0.53,72.93,
349,christchurch,NZ,-43.53,172.63,BreakFree on Cashel Christchurch
350,haimen,CN,23.19,116.61,
351,farafangana,MG,-22.82,47.83,Austral Hotel
352,rosetta,EG,31.4,30.42,فندق رشيد الدولي
353,hoshangabad,IN,22.75,77.72,Hotel Pushpak Lodge
354,springbok,ZA,-29.66,17.89,Springbok Inn by Country Hotels
355,esik,KZ,43.36,77.45,
356,juneau,US,58.3,-134.42,Four Points by Sheraton Juneau
357,sarakhs,IR,36.54,61.16,Doosti Hotel
358,aden,YE,12.78,45.04,Coral Hotel Aden
359,angoram,PG,-4.06,144.07,
360,kawalu,ID,-7.38,108.21,Hotel Taman Mangkubumi Indah
361,zyryanskoye,RU,56.83,86.63,
362,vulcan,RO,45.38,23.27,La Mihai
363,somers point,US,39.32,-74.59,Biscayne Suites
364,vostochnyy,RU,55.82,37.87,East Gate Hotel
365,parana,AR,-31.73,-60.52,Hotel Howard Johnson Plaza Resort & Casino Mayorazgo
366,tacoaleche,MX,22.82,-102.42,
367,bitung,ID,1.45,125.18,RedDoorz Plus @ Bitung City Center
