,City,Country,Lat,Lng,Hotel Name
472,tecoanapa,MX,16.52,-98.75,Hotel Garapacho
473,santa barbara,US,34.42,-119.7,The Wayfarer
474,kirakira,SB,-10.45,161.92,
475,turinsk,RU,58.05,63.7,Gostinitsa
476,kitgum,UG,3.28,32.89,Bomah Hotel
477,swan river,CA,52.11,-101.27,Westwood Inn Hotel & Indoor
478,konde,TZ,-4.95,39.75,
479,san sebastian,ES,43.31,-1.98,Zenit San Sebastián
480,lermontovka,RU,47.15,134.34,
481,tonj,SS,7.27,28.68,
482,northam,GB,51.03,-4.22,Seagate Hotel
483,tucuma,BR,-0.18,-50.05,
484,sao jose da coroa grande,BR,-8.9,-35.15,Pousada Barra Velha
485,te anau,NZ,-45.42,167.72,Distinction Te Anau Hotel & Villas
486,anadyr,RU,64.75,177.48,"Гостиница ""Анадырь"""
487,chokwe,MZ,-24.53,32.98,Complexo Sonho Real
488,new plymouth,NZ,-39.07,174.08,Novotel New Plymouth
489,vagur,FO,61.47,-6.81,Vestmanna Hostel
490,kano,NG,12.0,8.52,Bristol Palace Hotel
491,mackay,AU,-21.15,149.2,Reef Resort Motel
492,marrakesh,MA,31.63,-8.01,Riad Kasbah
493,porsa,IN,26.67,78.37,Om Palace
494,tuburan,PH,6.64,122.27,
495,nisia floresta,BR,-6.09,-35.21,
496,arlit,NE,18.74,7.39,Hôtel Telwa Bungalow
497,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
498,north bend,US,43.41,-124.22,The Mill Casino • Hotel & RV Park
499,yankton,US,42.87,-97.4,Holiday Inn Express & Suites Yankton
500,fare,PF,-16.7,-151.02,Maitai Lapita Village Huahine
501,padang,ID,-0.95,100.35,Ibis Padang
502,seguin,US,29.57,-97.96,The Olivia Mansion
503,sabang,ID,5.89,95.32,Casa Nemo Beach Resort & Spa
504,cumberland,US,35.05,-78.87,DoubleTree by Hilton Hotel Fayetteville
505,chapais,CA,49.78,-74.85,Hôtel Opémiska
506,kieta,PG,-6.22,155.63,
507,mogok,MM,22.92,96.5,Golden Butterfly Hotel
508,shetpe,KZ,44.17,52.12,Gostinitsa Nurlan
509,carballo,ES,43.21,-8.69,Pazo do Souto
510,ahuimanu,US,21.44,-157.84,Paradise Bay Resort
511,namtsy,RU,62.72,129.67,
512,axim,GH,4.87,-2.24,Ankobra Beach Resort
513,pimentel,PE,-6.84,-79.93,Hotel Puerto del Sol
514,yeppoon,AU,-23.13,150.73,Oshen Apartments Yeppoon
515,aizawl,IN,23.73,92.72,J.I.T Hotel
516,hami,CN,42.8,93.45,哈密环球大酒店
517,tolstoy-yurt,RU,43.44,45.77,
518,kismayo,SO,-0.36,42.55,mecca hotel
519,chisec,GT,15.82,-90.28,Hotel Estancia De La Virgen
520,aktau,KZ,43.65,51.2,Renaissance Aktau Hotel
521,kamuli,UG,0.95,33.12,Dawson Hotel Kamuli
522,changli,CN,39.7,119.15,7Days Inn Qinhuangdao Changli Jieyang Street
523,aswan,EG,24.09,32.91,Hotel Sofitel Legend Old Cataract Aswan
524,houma,US,29.6,-90.72,Fairfield Inn & Suites by Marriott Houma Southeast
525,mangan,IN,27.52,88.53,Munlom Nature Resort
526,korla,CN,41.76,86.15,Kangcheng Jian Guo International Hotel
527,sebezh,RU,56.3,28.47,Pribaltiysky Hotel
528,gampaha,LK,7.09,79.99,Wet Water Resort
529,srivardhan,IN,18.03,73.02,Tranquil Beach Resort
530,natal,BR,-5.79,-35.21,Yak Beach Hotel
531,gayeri,BF,12.65,0.49,
532,bartica,GY,6.4,-58.62,Palm Spring Hotel
533,betare oya,CM,5.6,14.08,
534,west bay,KY,19.37,-81.42,The Westin Grand Cayman Seven Mile Beach Resort & Spa
535,nelson bay,AU,-32.72,152.15,The Anchorage Port Stephens Hotel & Spa
536,nemuro,JP,43.32,145.57,Hotel Nemuro Kaiyoutei
537,fjerritslev,DK,57.08,9.27,"Idrætscenter Jammerbugt, Fjerritslev"
538,dehloran,IR,32.69,47.27,هتل سعید
539,port lincoln,AU,-34.73,135.87,Port Lincoln Hotel
540,bilibino,RU,68.05,166.44,Profilaktoriy Baes
541,amazar,RU,53.86,120.88,Гостевой дом - Guest house
542,nea playia,GR,40.27,23.2,Hotel Nautilos
543,mumbwa,ZM,-14.98,27.06,Madalitso Guest House
544,xai-xai,MZ,-25.05,33.64,
545,fortuna,US,40.6,-124.16,Bear River Casino Resort
546,maragogi,BR,-9.01,-35.22,Maraga Beach Hostel
547,teya,RU,60.38,92.63,
548,mayumba,GA,-3.43,10.66,Hotel Mayeye Foutou
549,viedma,AR,-40.81,-63.0,Hotel Austral Viedma
550,bracebridge,CA,45.03,-79.32,Quality Inn
551,sisimiut,GL,66.94,-53.67,Hotel Sisimiut
552,kununurra,AU,-15.77,128.73,Hotel Kununurra
553,osakarovka,KZ,50.56,72.57,Motel' Osakarovka
554,pasan,IN,22.85,82.2,Yadav Hotel
555,novochernorechenskiy,RU,56.27,91.08,
556,port-gentil,GA,-0.72,8.78,Hotel du Parc
557,tuatapere,NZ,-46.13,167.68,Waiau Hotel
558,chipinge,ZW,-20.19,32.62,Chipinge Breeze Lodge
559,abastumani,GE,41.71,42.85,Green Hotel Abastumani
560,stornoway,GB,58.21,-6.39,Royal Hotel
